Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
Sigmoid PM,g05_20.1,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_20.2,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf2.0",gamma_factor=2.00,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_20.3,"a-20.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.5",gamma_factor=1.50,alpha=-20.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_20.4,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.0",gamma_factor=1.00,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_20.5,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.0",gamma_factor=0.00,alpha=-30.00,0.88,1.20,0.00,0.70,34.00
Sigmoid PM,g05_20.6,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf4.5",gamma_factor=4.50,alpha=-50.00,0.17,0.00,0.00,0.42,86.00
Sigmoid PM,g05_20.7,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.5",gamma_factor=1.50,alpha=-50.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_20.8,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.0",gamma_factor=0.00,alpha=-30.00,0.57,0.00,0.00,0.71,58.00
Sigmoid PM,g05_20.9,"a-40.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.5",gamma_factor=1.50,alpha=-40.00,0.61,0.00,0.00,0.78,58.00
Sigmoid PM,g05_30.0,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.5",gamma_factor=1.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_30.1,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf2.5",gamma_factor=2.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_30.2,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_30.3,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_30.4,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf2.0",gamma_factor=2.00,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_30.5,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf2.5",gamma_factor=2.50,alpha=-30.00,0.56,0.56,0.00,0.06,1.00
Sigmoid PM,g05_30.6,"a-40.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf2.0",gamma_factor=2.00,alpha=-40.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_30.7,"a0.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=0.00,0.74,1.11,0.00,0.70,28.00
Sigmoid PM,g05_30.8,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf4.5",gamma_factor=4.50,alpha=-50.00,1.06,1.11,0.00,0.23,3.00
Sigmoid PM,g05_30.9,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf7.5",gamma_factor=7.50,alpha=-30.00,1.08,1.12,0.00,0.16,1.00
Sigmoid PM,g05_40.0,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.0",gamma_factor=0.00,alpha=-10.00,1.79,1.87,0.62,0.67,0.00
Sigmoid PM,g05_40.1,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf2.0",gamma_factor=2.00,alpha=-10.00,0.35,0.33,0.00,0.25,13.00
Sigmoid PM,g05_40.2,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf4.0",gamma_factor=4.00,alpha=-10.00,0.81,0.98,0.00,0.20,2.00
